PC值      寄存器编号 待写入寄存器的值
00000000   08           00000000        
00000004   09           0000000a        
00000008   10           0000000a        
0000000c   11           fffffffb        
00000020   12           00000001        
00000030   13           00000002        
00000054   14           00000003        
00000064   15           00000004        
00000088   24           00000005        
0000009c   25           00000006        
000000ac   16           00000007        
000000c0   17           00000005        
000000c4   18           00000000        
000000c8   18           00000005        
000000cc   17           00000004        
000000c8   18           00000009        
000000cc   17           00000003        
000000c8   18           0000000c        
000000cc   17           00000002        
000000c8   18           0000000e        
000000cc   17           00000001        
000000c8   18           0000000f        
000000cc   17           00000000        
